#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"AmazonDrive","1","1214","389931008","58236928","51130368","61928","C:\Users\Computer\AppData\Local\Amazon Drive\AmazonDrive.exe","Amazon.com Inc.","2.640625","5.0.11.167","0.0.0.0","Amazon Drive","Amazon Drive","Process","8",,"False",,"3480","Microsoft.Win32.SafeHandles.SafeProcessHandle","1214","6596",".","0","","System.Diagnostics.ProcessModule (AmazonDrive.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","61928","61928","51130368","51130368","629448","629448","53219328","53219328","79613952","79613952","396615680","396615680","True","Normal","51130368","51130368","00:00:00.3593750","AmazonDrive","15","True","1","System.Diagnostics.ProcessStartInfo","06/01/2018 15:54:15",,"System.Diagnostics.ProcessThreadCollection","00:00:02.6406250","00:00:02.2812500","389931008","389931008","False",,,,"58236928","58236928",,
"AppleMobileDeviceService","0","215","127873024","1601536","3706880","17264",,,,,,,,"Process","8",,,,,,"215","3260",".","0","",,,,,"17264","17264","3706880","3706880","235896","235896","3751936","3751936","13996032","13996032","132067328","132067328",,,"3706880","3706880",,"AppleMobileDeviceService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"127873024","127873024","False",,,,"1601536","1601536",,
"ApplicationFrameHost","1","735","2199233404928","16416768","25161728","34536","C:\WINDOWS\system32\ApplicationFrameHost.exe","Microsoft Corporation","2.1875","10.0.15063.0 (WinBuild.160101.0800)","10.0.15063.0","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4408","Microsoft.Win32.SafeHandles.SafeProcessHandle","735","12456",".","7079798","Calendar","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","34536","34536","25161728","25161728","432192","432192","30396416","30396416","29581312","29581312","220774400","2199244029952","True","Normal","25161728","25161728","00:00:01.3281250","ApplicationFrameHost","15","True","1","System.Diagnostics.ProcessStartInfo","21/12/2017 22:10:53",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1875000","00:00:00.8593750","210149376","2199233404928","False",,,,"16416768","16416768",,
"APSDaemon","1","473","152023040","6676480","7221248","25288","C:\Program Files (x86)\Common Files\Apple\Apple Application Support\APSDaemon.exe","Apple Inc.","1.5625","2.7.6.52","","Apple Push","Apple Push","Process","8",,"False",,"3260","Microsoft.Win32.SafeHandles.SafeProcessHandle","473","11912",".","0","","System.Diagnostics.ProcessModule (APSDaemon.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25288","25288","7221248","7221248","287216","287216","8679424","8679424","20844544","20844544","171192320","171192320","True","Normal","7221248","7221248","00:00:00.8281250","APSDaemon","15","True","1","System.Diagnostics.ProcessStartInfo","21/12/2017 22:01:42",,"System.Diagnostics.ProcessThreadCollection","00:00:01.5625000","00:00:00.7343750","152023040","152023040","False",,,,"6676480","6676480",,
"armsvc","0","140","60035072","0","1363968","8824",,,,,,,,"Process","8",,,,,,"140","3140",".","0","",,,,,"8824","8824","1363968","1363968","117344","117344","1626112","1626112","6950912","6950912","65220608","65220608",,,"1363968","1363968",,"armsvc",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"60035072","60035072","False",,,,"0","0",,
"audiodg","0","525","2199095369728","21438464","15798272","14736",,,"0.359375",,,,,"Process","8",,,,,,"525","8248",".","0","",,,,,"14736","14736","15798272","15798272","115664","115664","15806464","15806464","21438464","21438464","72114176","2199095369728",,,"15798272","15798272","00:00:00.0156250","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","06/01/2018 16:43:35",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3593750","00:00:00.3437500","72114176","2199095369728","False",,,,"21438464","21438464",,
"chrome","1","372","2199964971008","39952384","59863040","38200","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","2.90625","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","4",,"False",,"4336","Microsoft.Win32.SafeHandles.SafeProcessHandle","372","2184",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38200","38200","59863040","59863040","545248","545248","115339264","115339264","127918080","127918080","969633792","2199992889344","True","Idle","59863040","59863040","00:00:00.2968750","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","06/01/2018 16:02:58",,"System.Diagnostics.ProcessThreadCollection","00:00:02.9062500","00:00:02.6093750","941715456","2199964971008","False",,,,"39952384","39952384",,
"chrome","1","379","2200028663808","70619136","95203328","42008","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","80.703125","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"2868","Microsoft.Win32.SafeHandles.SafeProcessHandle","379","3528",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42008","42008","95203328","95203328","524216","524216","203206656","203206656","155766784","155766784","1596211200","2200619466752","True","Normal","95203328","95203328","00:00:05.1250000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","21/12/2017 22:56:20",,"System.Diagnostics.ProcessThreadCollection","00:01:20.7031250","00:01:15.5781250","1005408256","2200028663808","False",,,,"70619136","70619136",,
"chrome","1","229","2199223496704","1421312","5775360","15624","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","0.109375","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"4276","Microsoft.Win32.SafeHandles.SafeProcessHandle","229","3732",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","15624","15624","5775360","5775360","385696","385696","5861376","5861376","15261696","15261696","204435456","2199227691008","True","Normal","5775360","5775360","00:00:00.0625000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","22/12/2017 11:44:17",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0468750","200241152","2199223496704","False",,,,"1421312","1421312",,
"chrome","1","396","2200133431296","213602304","175640576","61672","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","Google Inc.","183.671875","63.0.3239.84","63.0.3239.84","Google Chrome","Google Chrome","Process","8",,"False",,"4580","Microsoft.Win32.SafeHandles.SafeProcessHandle","396","4444",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","61672","61672","175640576","175640576","582136","582136","211849216","211849216","249782272","249782272","1110175744","2200133431296","True","Normal","175640576","175640576","00:00:09.8125000","chrome","15","True","1","System.Diagnostics.ProcessStartInfo","06/01/2018 16:08:16",,"System.Diagnostics.ProcessThreadCollection","00:03:03.6718750","00:02:53.8593750","1110175744","2200133431296","False",,,,"213602304","213602304",,
